SURF.DAT        2.0             Header structure with coordinate parameters
   1                                                                       
Produced by SMERGE Version: 5.57  Level: 070627                            
NONE                                                                       
	2020	1	1	2020	121	0	9	2
		107
		108
2020	3	23
	-1 0.6 320 55 1026.4 
	-1 0.6 320 55 1026.4 
2020	4	0
	-1.5 1.4 270 58 1026 
	-1.5 1.4 270 58 1026 
2020	4	1
	-1.6 1 290 59 1025.7 
	-1.6 1 290 59 1025.7 
2020	4	2
	-1.9 0.7 360 63 1025.5 
	-1.9 0.7 360 63 1025.5 
2020	4	3
	-2.1 1.1 50 59 1026 
	-2.1 1.1 50 59 1026 
2020	4	4
	-2.3 1.5 50 62 1025.9 
	-2.3 1.5 50 62 1025.9 
2020	4	5
	-2.7 1.4 20 64 1025.4 
	-2.7 1.4 20 64 1025.4 
2020	4	6
	-2.4 1.3 50 64 1025.4 
	-2.4 1.3 50 64 1025.4 
2020	4	7
	-1.8 1.6 50 62 1025.3 
	-1.8 1.6 50 62 1025.3 
2020	4	8
	-1.8 1.1 70 63 1025.5 
	-1.8 1.1 70 63 1025.5 
2020	4	9
	-1.5 1.6 50 62 1026.2 
	-1.5 1.6 50 62 1026.2 
2020	4	10
	0.1 1.2 50 54 1026.5 
	0.1 1.2 50 54 1026.5 
2020	4	11
	2 1.3 50 49 1026.2 
	2 1.3 50 49 1026.2 
2020	4	12
	4.2 2.8 340 51 1025.5 
	4.2 2.8 340 51 1025.5 
2020	4	13
	5 2.9 320 42 1024.9 
	5 2.9 320 42 1024.9 
2020	4	14
	5.6 4 340 40 1024.7 
	5.6 4 340 40 1024.7 
2020	4	15
	6.1 2.2 320 33 1024.8 
	6.1 2.2 320 33 1024.8 
2020	4	16
	5.6 3.4 340 34 1025.2 
	5.6 3.4 340 34 1025.2 
2020	4	17
	4.7 3.5 290 36 1025.6 
	4.7 3.5 290 36 1025.6 
2020	4	18
	3.6 1.5 270 41 1026.2 
	3.6 1.5 270 41 1026.2 
2020	4	19
	2.7 0.8 290 44 1026.8 
	2.7 0.8 290 44 1026.8 
2020	4	20
	1.8 0.5 20 45 1027.3 
	1.8 0.5 20 45 1027.3 
2020	4	21
	1.6 1.9 360 43 1027.5 
	1.6 1.9 360 43 1027.5 
2020	4	22
	1.2 3.3 290 45 1028.1 
	1.2 3.3 290 45 1028.1 
2020	4	23
	0.7 3.5 320 48 1028.2 
	0.7 3.5 320 48 1028.2 
2020	5	0
	-0.3 0.8 290 53 1028.3 
	-0.3 0.8 290 53 1028.3 
2020	5	1
	-1 1.6 290 53 1028.2 
	-1 1.6 290 53 1028.2 
2020	5	2
	-1.5 0.8 320 52 1028.6 
	-1.5 0.8 320 52 1028.6 
2020	5	3
	-1.7 2 270 55 1029.5 
	-1.7 2 270 55 1029.5 
2020	5	4
	-2.1 0.7 340 55 1029.5 
	-2.1 0.7 340 55 1029.5 
2020	5	5
	-2.4 0.9 340 55 1029.7 
	-2.4 0.9 340 55 1029.7 
2020	5	6
	-2.6 0 0 58 1030.3 
	-2.6 0 0 58 1030.3 
2020	5	7
	-3 0.4 0 59 1031 
	-3 0.4 0 59 1031 
2020	5	8
	-3.1 1 50 61 1031.4 
	-3.1 1 50 61 1031.4 
2020	5	9
	-2.7 0.7 50 58 1032 
	-2.7 0.7 50 58 1032 
2020	5	10
	-0.6 0.8 20 50 1032.6 
	-0.6 0.8 20 50 1032.6 
2020	5	11
	2.1 0.7 110 42 1032.1 
	2.1 0.7 110 42 1032.1 
2020	5	12
	4 1.1 70 35 1031.3 
	4 1.1 70 35 1031.3 
2020	5	13
	5.5 0.8 110 33 1030.2 
	5.5 0.8 110 33 1030.2 
2020	5	14
	6 1.8 230 32 1030 
	6 1.8 230 32 1030 
2020	5	15
	6.5 0.9 230 30 1029.9 
	6.5 0.9 230 30 1029.9 
2020	5	16
	5.9 1.2 250 29 1030.2 
	5.9 1.2 250 29 1030.2 
2020	5	17
	5 1.1 230 30 1030.7 
	5 1.1 230 30 1030.7 
2020	5	18
	4 0.3 0 37 1030.9 
	4 0.3 0 37 1030.9 
2020	5	19
	3.3 1.2 320 40 1030.7 
	3.3 1.2 320 40 1030.7 
2020	5	20
	2.9 1 50 42 1030.6 
	2.9 1 50 42 1030.6 
2020	5	21
	2 1.8 50 46 1030.3 
	2 1.8 50 46 1030.3 
2020	5	22
	1.3 1.3 50 44 1030.9 
	1.3 1.3 50 44 1030.9 
2020	5	23
	0.7 2.2 70 47 1030.5 
	0.7 2.2 70 47 1030.5 
2020	6	0
	0.8 1.3 70 46 1030.2 
	0.8 1.3 70 46 1030.2 
2020	6	1
	0.7 2.3 70 50 1029.6 
	0.7 2.3 70 50 1029.6 
2020	6	2
	1.2 3.4 70 44 1029.5 
	1.2 3.4 70 44 1029.5 
2020	6	3
	1.1 2.7 90 43 1029.7 
	1.1 2.7 90 43 1029.7 
2020	6	4
	1.5 1.8 90 41 1029.1 
	1.5 1.8 90 41 1029.1 
2020	6	5
	1.7 1.7 90 40 1028.8 
	1.7 1.7 90 40 1028.8 
2020	6	6
	2 2.1 90 40 1028.6 
	2 2.1 90 40 1028.6 
2020	6	7
	2.1 1.6 70 42 1028.7 
	2.1 1.6 70 42 1028.7 
2020	6	8
	2.2 1.3 70 43 1028.9 
	2.2 1.3 70 43 1028.9 
2020	6	9
	2.5 0.7 90 42 1029.5 
	2.5 0.7 90 42 1029.5 
2020	6	10
	3 2 70 44 1028.6 
	3 2 70 44 1028.6 
2020	6	11
	3.5 3.4 70 45 1028.5 
	3.5 3.4 70 45 1028.5 
2020	6	12
	4.5 3.5 70 51 1027.7 
	4.5 3.5 70 51 1027.7 
2020	6	13
	4 3.6 70 58 1026.5 
	4 3.6 70 58 1026.5 
2020	6	14
	3.9 4.9 70 65 1025.5 
	3.9 4.9 70 65 1025.5 
2020	6	15
	3.7 4.5 70 70 1024.9 
	3.7 4.5 70 70 1024.9 
2020	6	16
	3.3 3.9 70 79 1024.7 
	3.3 3.9 70 79 1024.7 
2020	6	17
	3 3.5 70 83 1024.5 
	3 3.5 70 83 1024.5 
2020	6	18
	2.8 4.5 70 89 1024.1 
	2.8 4.5 70 89 1024.1 
2020	6	19
	3.1 4.7 70 92 1023.6 
	3.1 4.7 70 92 1023.6 
2020	6	20
	3.4 4.8 70 92 1023.4 
	3.4 4.8 70 92 1023.4 
2020	6	21
	3.6 4.5 70 93 1022.9 
	3.6 4.5 70 93 1022.9 
2020	6	22
	3.8 4.3 70 94 1022.2 
	3.8 4.3 70 94 1022.2 
2020	6	23
	4 3.4 70 94 1021.8 
	4 3.4 70 94 1021.8 
2020	7	0
	4.2 4.4 70 95 1020.5 
	4.2 4.4 70 95 1020.5 
2020	7	1
	4.3 4.5 70 95 1019.8 
	4.3 4.5 70 95 1019.8 
2020	7	2
	4.4 5.1 70 95 1018.9 
	4.4 5.1 70 95 1018.9 
2020	7	3
	4.6 4.5 70 95 1017.9 
	4.6 4.5 70 95 1017.9 
2020	7	4
	5.1 2.9 70 95 1017.6 
	5.1 2.9 70 95 1017.6 
2020	7	5
	5.3 3.1 90 95 1016.9 
	5.3 3.1 90 95 1016.9 
2020	7	6
	5.5 3.3 70 95 1016.6 
	5.5 3.3 70 95 1016.6 
2020	7	7
	5.6 3.4 90 95 1016.5 
	5.6 3.4 90 95 1016.5 
2020	7	8
	5.6 3.8 70 95 1016.5 
	5.6 3.8 70 95 1016.5 
2020	7	9
	5.8 3.6 90 94 1016.5 
	5.8 3.6 90 94 1016.5 
2020	7	10
	6 4 70 94 1015.8 
	6 4 70 94 1015.8 
2020	7	11
	6.3 4.1 70 93 1014.8 
	6.3 4.1 70 93 1014.8 
2020	7	12
	6.4 4.3 70 94 1013.3 
	6.4 4.3 70 94 1013.3 
2020	7	13
	6.6 2.9 70 95 1012.2 
	6.6 2.9 70 95 1012.2 
2020	7	14
	6.7 3.6 70 95 1010.2 
	6.7 3.6 70 95 1010.2 
2020	7	15
	6.5 4 70 95 1009.4 
	6.5 4 70 95 1009.4 
2020	7	16
	6.7 4.8 70 96 1008 
	6.7 4.8 70 96 1008 
2020	7	17
	6.8 5 70 96 1007 
	6.8 5 70 96 1007 
2020	7	18
	7 5.3 70 96 1005.5 
	7 5.3 70 96 1005.5 
2020	7	19
	7.1 5.6 70 95 1004 
	7.1 5.6 70 95 1004 
2020	7	20
	7 5.3 70 95 1002 
	7 5.3 70 95 1002 
2020	7	21
	7.2 4.8 70 95 1000.9 
	7.2 4.8 70 95 1000.9 
2020	7	22
	7.3 3.9 90 96 1000.2 
	7.3 3.9 90 96 1000.2 
2020	7	23
	7.5 4.2 70 95 999 
	7.5 4.2 70 95 999 
2020	8	0
	7.7 0.7 90 96 997.8 
	7.7 0.7 90 96 997.8 
2020	8	1
	8.7 5 230 96 997.7 
	8.7 5 230 96 997.7 
2020	8	2
	6.5 5.8 230 95 998.7 
	6.5 5.8 230 95 998.7 
2020	8	3
	5 5.3 250 95 1000.3 
	5 5.3 250 95 1000.3 
2020	8	4
	3.1 3.8 250 95 1002.2 
	3.1 3.8 250 95 1002.2 
2020	8	5
	2.4 4.8 270 95 1004.1 
	2.4 4.8 270 95 1004.1 
2020	8	6
	1.8 6 270 95 1006.2 
	1.8 6 270 95 1006.2 
2020	8	7
	1.5 3.2 290 95 1007.6 
	1.5 3.2 290 95 1007.6 
2020	8	8
	1.6 2.5 290 95 1009.9 
	1.6 2.5 290 95 1009.9 
2020	8	9
	2.2 1.8 290 95 1011.9 
	2.2 1.8 290 95 1011.9 
2020	8	10
	2.7 2.8 290 94 1013.7 
	2.7 2.8 290 94 1013.7 
2020	8	11
	3.1 2.5 270 91 1014.6 
	3.1 2.5 270 91 1014.6 
2020	8	12
	3.2 3.3 270 87 1015.4 
	3.2 3.3 270 87 1015.4 
2020	8	13
	3.4 2.7 290 85 1016.1 
	3.4 2.7 290 85 1016.1 
2020	8	14
	3.6 2.2 270 83 1016.3 
	3.6 2.2 270 83 1016.3 
2020	8	15
	3.9 1.9 270 80 1016.4 
	3.9 1.9 270 80 1016.4 
2020	8	16
	3.9 1.8 270 80 1017.1 
	3.9 1.8 270 80 1017.1 
2020	8	17
	3.9 2.2 290 81 1018.1 
	3.9 2.2 290 81 1018.1 
2020	8	18
	3.4 3.7 270 83 1018.9 
	3.4 3.7 270 83 1018.9 
2020	8	19
	2.3 4 270 83 1019.7 
	2.3 4 270 83 1019.7 
2020	8	20
	1.5 3.3 270 83 1020.9 
	1.5 3.3 270 83 1020.9 
2020	8	21
	0.2 4.9 270 81 1022 
	0.2 4.9 270 81 1022 
2020	8	22
	0 3 270 82 1022.6 
	0 3 270 82 1022.6 
2020	8	23
	-0.3 3.1 290 75 1022.8 
	-0.3 3.1 290 75 1022.8 
2020	9	0
	-0.4 3.9 270 73 1023.2 
	-0.4 3.9 270 73 1023.2 
2020	9	1
	-0.5 2.1 290 70 1023.2 
	-0.5 2.1 290 70 1023.2 
2020	9	2
	-0.5 1 270 70 1023.2 
	-0.5 1 270 70 1023.2 
2020	9	3
	-0.6 2.2 270 70 1023.4 
	-0.6 2.2 270 70 1023.4 
2020	9	4
	-0.8 1.4 290 73 1023.3 
	-0.8 1.4 290 73 1023.3 
2020	9	5
	-0.9 2.4 320 72 1023.3 
	-0.9 2.4 320 72 1023.3 
2020	9	6
	-1.8 1.4 320 70 1023.6 
	-1.8 1.4 320 70 1023.6 
2020	9	7
	-2.3 1.2 320 74 1024.3 
	-2.3 1.2 320 74 1024.3 
2020	9	8
	-2.8 2.5 290 75 1024.3 
	-2.8 2.5 290 75 1024.3 
2020	9	9
	-2.7 1.9 290 73 1024.5 
	-2.7 1.9 290 73 1024.5 
2020	9	10
	-2.1 2.5 320 68 1025.4 
	-2.1 2.5 320 68 1025.4 
2020	9	11
	-1.6 3.3 290 63 1025.3 
	-1.6 3.3 290 63 1025.3 
2020	9	12
	-0.7 3.3 320 57 1024.4 
	-0.7 3.3 320 57 1024.4 
2020	9	13
	0.1 3.6 320 51 1023.6 
	0.1 3.6 320 51 1023.6 
2020	9	14
	1.1 3.3 290 51 1022.9 
	1.1 3.3 290 51 1022.9 
2020	9	15
	1.7 2.6 290 49 1023 
	1.7 2.6 290 49 1023 
2020	9	16
	1.6 2.2 320 49 1023.3 
	1.6 2.2 320 49 1023.3 
2020	9	17
	0.6 3.1 290 55 1023.7 
	0.6 3.1 290 55 1023.7 
2020	9	18
	-0.4 2.6 290 60 1024.2 
	-0.4 2.6 290 60 1024.2 
2020	9	19
	-0.8 3.4 270 61 1024.8 
	-0.8 3.4 270 61 1024.8 
2020	9	20
	-1.2 2.4 270 62 1025 
	-1.2 2.4 270 62 1025 
2020	9	21
	-1.7 0.5 320 67 1025.5 
	-1.7 0.5 320 67 1025.5 
2020	9	22
	-2.3 0.6 340 67 1025.7 
	-2.3 0.6 340 67 1025.7 
2020	9	23
	-2.6 0.6 320 72 1025.8 
	-2.6 0.6 320 72 1025.8 
2020	10	0
	-3.1 1.1 270 76 1025.6 
	-3.1 1.1 270 76 1025.6 
2020	10	1
	-3.2 0.6 320 78 1025.5 
	-3.2 0.6 320 78 1025.5 
2020	10	2
	-3.6 0.9 70 77 1025.7 
	-3.6 0.9 70 77 1025.7 
2020	10	3
	-3.5 0.6 20 78 1026 
	-3.5 0.6 20 78 1026 
2020	10	4
	-3.9 1.1 50 83 1025.6 
	-3.9 1.1 50 83 1025.6 
2020	10	5
	-4.3 2.1 90 77 1025.2 
	-4.3 2.1 90 77 1025.2 
2020	10	6
	-4.3 1.4 50 80 1024.8 
	-4.3 1.4 50 80 1024.8 
2020	10	7
	-4.1 0 0 77 1025.4 
	-4.1 0 0 77 1025.4 
2020	10	8
	-3.8 1.3 20 79 1025.2 
	-3.8 1.3 20 79 1025.2 
2020	10	9
	-3 0 0 74 1025.8 
	-3 0 0 74 1025.8 
2020	10	10
	-1.8 0.9 270 68 1026.2 
	-1.8 0.9 270 68 1026.2 
